'n	a, an.
bobbejaan	baboon.
bobotie	curried minced meat.
bod	bid, offer.
bode	messenger; servant.
bodem	bottom; soil; territory; ship.
bodryf	float on the surface; prevail.
Boedapest	Budapest.
Boeddhisme	Buddhism.
boedel	estate; property.
boef	villain, rogue, knave.
boeg	bow(s) (of ship); shoulder-joint (of horse).
boeglam	dead beat, exhausted.
boegoe	buchu.
boei	n. 1. handcuff(s); fetter.; n. 2. buoy.; handcuff; fascinate.
boek	n. book; quire (of paper).; enter, book.
boekdeel	volume.
boekery	library.
boeket	bouquet (also of wine).
boekevat	hold family prayers.
boekhandel	book-trade; bookseller's shop.
boekhou	n. book-keeping.; keep an account of; keep the books.
boekhouer	book-keeper.
boekjaar	financial year.
boekstaaf	put on record.
boel	lot, crowd, heaps, lots.
boemel	n. spree.; spree; loaf about.
boemeraag	boomerang.
boender	chase (drive) away.
boepens	vide boepens.; pot-belly.
Boer	Boer.; farmer; jack (cards).; farm; stay, remain.
boerbok	boer-goat, Swiss goat.
boerboontjie	broad bean.
boerdery	farming; farm.
boerematriek	confirmation (church).
boerplek	haunt; favourite spot.
boers	boorish, rustic.
boesel	bushel.
boesem	bosom, breast.
Boesman	Bushman.
boet	n. brother.; pay, suffer.
boeta	brother.
boete	fine, penalty; penance.
boetebossie	" ""boetebossie""."
boeteling	penitent.
boetseer	model.
boetvaardig	penitent, repentant.
bof	n. den, home (in catch-games); tee (golf); base (baseball).; tee (golf).
bofbal	baseball.
bog	n. (I) bend, windcurve; bight.; n. (2) nonsense; litter; fool; bad sort.
bogenoemde	above(-mentioned).
boggel	hump, hunch.
bogkind	a mere child.
bogpraatjies	twaddle, senseless talk.
bogronds	overhead (wires); elevated.
bogtery	nonsense; nuisance.
bohaai	fuss, noise.
Boheems	Bohemian.
boikot	boycott.
bok	n. goat; (wild) buck; buck (of wagon); vaulting-buck (gymnastics); trestle, support; rest (billiards); best girl; blunder, bloomer.
bokaal	goblet, beaker.
bokant	n. upper side, top (-side).; prep; above, over (the door).
bokbaard	goatee (beard).
bokerf	top notch; top-gear.
bokhaar	mohair.
bokkapater	gelded goat.
bokkem	mullet, Cape herring.
bokkesprong	caper; -e, antics.
bokkie	buggy.
bokleer	kid, buckskin.
bokmakierie	bokmakiri, bush-shrike.
bokom	get to the top, get on top; come up.
bokram	he-goat, billy-goat.
boks	box.
bokseil	bucksail, tarpaulin.
bokser	boxer.
bokskryt	boxing-ring.
bokspring	caper, buckjump,
Bokveld	go west.
bokwa	buck-wagon.
bokwiet	buckwheat.
bol	n. ball; globe; sphere; crown (of hat); bulb (of plant).; bulge; swell.
Boland	Western Proyince.
bolig	sky-light, fan-light.
bolla	bun (of hair), chignon.
bollemakiesie	head over heels.
bolpen	ball-point pen.
bolvormig	spherical; bulbshaped.
bolwerk	rampart; stronghold.
bolyf	upper part of the body,
bolyfie	bodice.
bom	bomb, shell.
bombardeer	bomb(ard), shell.
bombarie	fuss, noise.
bombasties	bombastic.
bomenslik	superhuman.
bommwerper	bomber, bombing-plane.
bonatuurlik	supernatural.
bond	bond, league, confederation.
bondel	bundle (of washing); sheaf (of papers); cluster.; bundle,
bondeldraer	pedlar, tramp.
bondgenoot	ally, confederate.
bondig	concise, succinct, terse.; concise; brief; succinct; terse
bonk	n. lump; thump.
bonkig	bony; square-built (chunky).
bons	n. thump, bump, thud.; bump; throb (of heart).
bont	n. fur.; a. pied, piebald (horse), spotted; gay (colours); motley (gathering).
bontjas	fur-coat.
bontpraat	ramble; contradict oneself.
bontspring	jump about; vide bontstaan.
bontstaan	stir one's stumps; try different tacks.
boodskap	n. message; errand.
boog	n. bow (and arrow); arch (archit.); arc (geom.); curve.
booglamp	arc-lamp.
boogskutter	archer.
boom	n. (1) tree; barrier; punting-pole.; n. (2) bottom, seat (of trousers).
boomgaard	orchard.
boomryk	woody.
boomskraap	n. scrapings.
boon	bean,
boonop	besides, in addition,
boonste	n. top, upper part.; a. top, topmost, upper.
boontoe	upstairs; higher up; up(wards).
boor	o. bit; drill; boring-machine; gimlet.; drill, bore.
boord	n. l. orchard,; n. 2. border, edge; board (ship).; orchard; border, edge; board (ship); on board
boordjie	collar.
boordjieknoop	collar-stud.
boorsalf	boracic ointment.
boortjie	gimlet.
boos	angry, cross; evil (spirit); malignant (ulcer).
boosaardig	malicious; malignant.
boosdoener	evil-doer, malefactor.
booswig	criminal, villain.
boot	boat, steamer.
bootsman	boatswain.
bord	plate (at table); (black)board.
bordpapier	cardboard, pasteboard.
borduur	embroider (lit. k fig.).
borg	n. surety, guarantee; security; guarantor; bail (law).
borgstaan	stand surety.
borgtog	surety, bail.
borrel	n. bubble.; bubble.
borrie	turmeric.
bors	breast; bosom; (weak) chest; brisket (meat); front (of shirt).
borsbeeld	bust; efligy (on coin).
borsel	n. brush; bristle (stiff hair).; brush; give a whacking.
borshemp	dress-shirt.
borsklierontsteking	mastitis
borslap	bib (of child).
borsplaat	breast-plate; breast-piece.
borsrok	corset, stays.
borsspeld	brooch.
borsvoed	nurse; lactate (v)
borswering	parapet, breastwork.
bos	wood, forest; bush, shrub; bunch (of carrots); bundle, sheaf; shock (of hair).
bosagtig	woody.
bosapie	bush-baby.
bosbaadjie	lumber-jacket.
bosbok	bush-buck.
bosbou	forestry.
bosduif	speckled (rock-)pigeon.
bose	the Evil One.
bosgasie	thicket, underwood; shock (of hair), unkempt hair.
boskasie	vide bosgasie.
boskat	wild cat.
bosluis	(bush-)tick, tampan.
bosryk	woody, (well-) wooded.
bossiedokter	herbalist.
bostaande	abovementioned.
bosvark	bush-pig.
bosveld	bush-country.
boswerker	lumberjack.
bot	a. blunt, dull.; bud, sprout.
bot-af	curt(ly).
botanie	botany.
botoon	overtone; die - voer, dominate.
bots	collide; clash, disagree.
botstil	stock-still, quite still.
bottel	n, bottle.
botter	butter.
botterblom	buttercup, Cape daisy.
botterbroodjie	scone.
botterham	sandwich,
botterkop	
botterpot	butter-pot.
botvier	give rein to, indulge.
botweg	bluntly, flatly.
bou	build; erect, construct,
bou-ondernemer	builder and contractor.
boud	n. buttock; leg (of mutton).
boukunde	architecture.
boukundige	architect.
boul	bowl (cricket).
bouler	bowler.
boustof	(building-)materials.
bout	bolt, rivet; pin; (soldering-)iron.
bouval	ruin(s).
bouvallig	dilapidated; decrepit.
bovermeld	vide bogenoemde.
bowendien	besides, in addition.
bra	really, very.
braaf	virtuous, good; brave.
braai	roast (in pot), grill (on gridiron), fry (in pan), broil (meat on fire); toast (bread).
braak	a. fallow.; 1. break up, fallow (land).; 2. vomit; emit, belch.
braam	blackberry; bramble.
brabbel	jabber, chatter.
Brahmaan	(-mane). Brahman (Brahmin).
brak	n. 1. pup; mongrel.; n. 2. salt-lick, brackish spot.; a. brackish, saltish, alkaline,
brakhond	mongrel, vide brak, n.
brand	n. fire, conflagration; blight, smut (in wheat).; burn; be on fire; roast (coffee); scald (with hot water); brand (with hot iron).
brandarm	penniless.
brandbom	incendiary bomb.
brander	breaker, wave.
brandewyn	brandy.
branding	breakers, surf.
brandkas	safe.
brandmaer	skinny, scraggy, lean.
brandmerk	brand; stigmatize.
brandnekel	stinging-nettle.
brandsiekte	scab.
brandslang	fire-hose.
brandspiritus	methylated spirits.
brandstigting	arson.
brandstof	fuel.
brandwag	picket, sentry, sentinel.
brandweer	fire-brigade.
bras	revel, carouse.
Brasiliaans	Brazilian.
bredie	" ragout, stew, ""bredie."""
breed	broad (chest), wide (road).
breedsprakig	verbose, longwinded.
breedte	breadth, width; latitude (geogr.>.
breedtegraad	degree of latitude.
breedvoerig	a. full, detailed.; adv. at length, fully.
breek	break; be broken; shatter; crush (stone).
breekgoed	crockery.
breekyster	crowbar; jemmy (of burglar).
brei	1. knit.; 2. prepare, curry, dress (skin); knead (clay); coach (athletes), train; harden.
breidel	bridle.; bridle, curb.
brein	brain, intelleqt.
breinvliesontseking	meningitis
breiwerk	knitting.
bres	breach.
breuk	break, breach; rupture; fracture (of skull); crack; fault (geol.); fraction (maths.).
brief	letter.
briefwisseling	correspondence.
briek	n. brake.; apply the brakes.
bries	n. breeze.
briesend	roaring; furious, raging.
briewebesteller	postman.
bril	n. (pair of) spectacles (glasses); goggles (for motoring); seat (of W.C.).; wear glasses.
briljant	brilliant.
bring	bring; take, convey.
brinjal	egg-plant.
Brit	Britisher, Briton.
Brittanje	Britain, Britannia.
broeder	brother.
broei	hatch, incubate; get hot (heated); brew, gather.
broeimasjien	incubator, hatching-machine.
broeis	broody (hen).
broeisel	clutch (of eggs); brood (hatch) (of chickens).
broek	(pair of) trousers; drawers, bloomers (female); back part (of harness).
broekskeur	have a rough time.
broer	brother.
broerskind	nephew, niece.
brok	piece, lump, fragment.
brokkel	crumble.
broksgewys	bit by bit, piecemeal.
brokstuk	fragment, piece.
brom	hum, drone (of insect); grumble (of person); growl (of animal).
bromfiets	buzz-bike, autocycle.
brommer	blue-bottle, blowfly; grumbler.
bromponie	motor scooter.
brompot	grouser, grumbler.
bron	(hot) spring; well; source (of the Nile); origin, source; cause (of the evil); means (of living).
brongitis	bronchitis.
bronkors	water-cress.
brons	n. bronze.
brood	bread; loaf.
broodnodig	absolutely (highly) necessary, badly needed, essential.
broos	a. brittle, fragile.
bros	a. brittle, crisp, crumbly.
brosjure	brochure, pamphlet.
brou	brew; bungle.
brouery	brewery.
brousel	brewing, brew; concoction.
brug	brugge), bridge; gangway.; (2). bridge (card-game).
bruid	bride.
bruidegom	bridegroom.
bruidskat	dowry.
bruidsmeisie	bndesmaid.
bruikbaar	serviceable, useful.
bruikleen	loan; in - he, have on loan.
bruilof	wedding.
bruin	a. brown; annoyed.
bruinkapel	brown cobra.
bruinvis	porpoise.
bruis	n. froth, foam.; fizz, bubble; boil, seethe.
brul	n. roar; bellow (of cattle).; roar; bellow (of cattle).
brulpadda	bullfrog.
brunet	brunette.
Brussels	Brussels.
brutaal	impudent, insolent.
bruto	gross (weight).
bruusk	brusque, blunt.
bruut	brute.
bry	speak with a burr.
buffel	buEalo; boor, churl.
buffer	buffer, bumper.
buffet	sideboard; (refreshment) bar.
bui	shower (of rain); whim; mood, humour; fit (of coughing).
buidel	bag, pouch.
buierig	showery; fickle; moody.
buig	bend; curve; stoop.
buigbaar	flexible, pliable; declinable.
buiging	bending; bend, bow; declension.
buigsaam	flexible; compliant.
buik	belly; stomach; bottom (of wagon).
buikband	vide buikriem.
buikriem	girth (of horse).
buikspreker	ventriloquist.
buil	boil; swelling.
builepes	bubonic plague.
buis	tube, pipe; duct (anat.)
buit	n. booty, spoils, loot.
buite	seize, capture, take.; adv. outside; in the country.; prep. outside; out of; beyond.
buite-om	round (the outside).
buiteband	tyre; casing.
buitekant	outside; vide buite.
buitekantste	vide buitenste.
buitelands	(-e); foreign; exotic.
buitelug	fresh air; open air.
buiten	except, but; besides; beyond.
buitendien	besides, moreover.
buitengewoon	unusual, extraordinary.
buitenissig	odd, eccentric, unusual.
buitensporig	exorbitant (price), extravagant, preposterous.
buitenste	a. outside, outer, exterior.
buitenstyds	out of season; out of hours.
buitentoe	outside, out.
buitestaander	outsider.
buitewaards	adv. outwards.
buitewereld	outside world, outer world.
buitewyk	outlying district, suburb.
buitmaak	capture, loot.
buk	bend, stoop, bow.
buks	small rifle; little fellow.
bul	1. (papal) bull; diploma.; 2. bull; whopper, thumper.
bulder	roar; boom (of gun).
Bulgaar	Bulgarian.
bulk	bellow, low, moo.
bullebak	bully, bear.
bulsak	feather-bed.
bult	n. bump, lump, hunch, hump (on back); hill, ridge.; dent, indent.
bundel	n. collection, volume.; collect, publish in book-form.
burg	1. hog, barrow.; 2. castle, stronghold.
burgemeester	mayor, burgomaster.
burger	citizen; burg(h)er.
burgerlik	civil; civilian; bourgeois.
burgeroorlog	civil war.
burggraaf	viscount.
bus	1, (omni)bus.; 2. box, drum; tin.; 3. bush; socket, box.
buskruit	gunpowder.
buur	neighbour.
buurt	(-s), neighbourhood; quarter.
by	n. bee.; prep. by, with, near, at.; adv. present, there.
bybedoeling	ulterior motive.
bybehore	accessories.
Bybel	Bible.
byblad	supplement (of newspaper).
bybly	keep pace with; stick in one's memory.
bybring	bring forward; quote (examples); afford; bring (person) to (round); instil(l) (ideas).
bydam	accost, tackle.
byderhand	at hand.
bydra	contribute (to).; contribute
bydrae	contribution.
byeen	together.
byeengeroep	call (meeting), call together, summon.
byeenkom	come together, meet.
byekorf	beehive.
bygaande	accompanying; attached.
bygeloof	superstition.
bygelowig	superstitious.
bygevolg	consequently, therefore.
bygooi	add.
byhaal	bring (drag) in.
byhou	keep up (with).
bykans	nearly, almost.
bykant	on-side (in cricket).
bykom	get at, reach; recover consciousness; be included (added); come up with.
bykomend	incidental (expenses); attendant (circumstances); additional.
bykomstig	subsidiary, accidental, minor.
byl	axe, (light) hatchet, chopper.
bylae	appendix, enclosure.; supplement
bylas	add, append.
byle	make up, settle (dispute).
bymekaar	together.
bymekaarkom	come together, assemble.
bymekaarmaak	save (money); round up (cattle); collect (things).
bymekaarstaan	stand together; unite forces.
bymeng	mix with.
byna	almost, nearly.
bynaam	nickname; surname.
byreken	reckon in, add.
bysaak	matter of minor importance, sideline.
bysiende	short-sighted.
bysin	subordinate clause.
bysit	1. contribute (R5); inter, lay to rest.; 2. sit by (near).
bysleep	drag in.
bysmaak	flavour.
byspring	lend a hand.
bystaan	help, assist, back up.
byster	have lost one's way; be at a loss.
byt	n. bite.; bite.
bytel	add, include; count in.
bytend	biting, caustic; corrosive.
bytsoda	caustic soda.
byval	n. approval; applause.; remember.
byvoeg	add; enclose; append.
byvoeglik	adjectival.
byvoegsel	appendix; supplement.
byvoorbeeld	for example.
bywoner	bywoner; squatter.
bywoon	attend; be present at.
bywoord	adverb.
Calvinis	Calvinist.
camouflage	camouflage.
Carthaags	Carthaginian.
chaos	chaos.
chemie	chemistry.
chemikaliee	(pl.) chemicals.
Chinees	n. Chinaman.
chirurg	surgeon.
chloor	chlorine.
chloroform	chloroform.
cholera	cholera.
Christelik	Christian(ly), Christianlike.
Christen	Christian.
Christin	Christian woman.
Christus	Christ.
chronies	chronic.
chronologies	chronological(ly).
Coliseum	Coliseum, (Colosseum).
confetti	confetti.
daad	deed; act; exploit.
daadwerklik	actual, real.
daagliks	daily, everyday.
daai	ta!, thank you!
daal	descend; sink, go down, drop; fall, decline; slump.
daalder	one shilling and sixpence (15c).
daar	adv. there; then.; conj. as, because, since.
daaraan	by that, to that.
daaragter	behind it (that).
daarbenewens	besides, in addition to (that).
daarby	besides, in addition; near it.
daardie	that, (pl.) those.
daarenbowe	besides, moreover.
daarenteë	on the contrary, on the other hand.
daargelate	leaving aside, apart from.
daarginds	-gunter, over there.
daarheen	there, thither, to that place.
daarlaat	leave (it) at that.
daarlangs	along there; somewhere there.
daarmee	with that, therewith.
daarna	after that, afterwards, next, then.
daarnaas	next to that; besides that.
daarnatoe	there, thither, in that direction.
daarnewens	besides, over and above that.
daarom	therefore, on that account.
daaronder	under that; underneath; among them; thereby, down there.
daaroor	about (concerning) that; because of that; across (over) that.
daarop	(up)on that; thereupon.
daaropvolgende	next; following; subsequent
daarso	there, at that place (spot).
daarstel	make, bring about; erect.
daartee	-teen, against that.
daartoe	for that (purpose); to (as far as) that.
daaruit	out of that, from that, thence.
daarvan	of that, from that, thereof.
daarvandaan	from there, thence; hence.
daarvoor	therefore; for it.
dadel	date.
dadelik	a. immediate, prompt.; adv. directly, at once.
daeliks	vide daagliks.
daeraad	vide dageraad.
dag	day.
dagblad	daily paper.
dagboek	diary; day-book (in book-keeping).
dagbreker	(South African) stonechat.
dageraad	dawn.
dagga	dagga, wild hemp.; marijuana
dagluimier	dawn, daybreak.
dagteken	date.
dagvaar	summon(s), cite.
dagverhaal	journal, diary.
dahlia	dahlia.
dak	roof.
dakpan	(roofing-) tile.
dal	valley, dale, glen.
dalk	perhaps, maybe, possibly.
dalkies	by-and-by; presently.
dam	n. dam; reservoir; weir.; dam (up); crowd together.
damas	damask.
dambord	draught-board.
dame	lady.
damesakkie	lady's (fancy-, vanity-) bag.
damp	n. fume, steam, vapour.; smoke, steam.
dampkring	atmosphere.
dampomp	outlet-pipe (of irrigation-dam).
dan	then; than.
danig	a. thorough, strong.; adv. very much; intimate; awfully.
dank	n. thanks, acknowledgment.; thank.
dankbaar	grateful, thankful.
danke	due to.
dankfees	thanksgiving-feast.
dankie	thanks!, thank you!
dankiebly	very pleased.
dankoffer	thank-offering.
dankse	thank, return thanks.
dans	n. dance.
dansparty	dance, ball; hop.
dapper	n., met - en stapper, on foot.; a. brave, gallant, valiant.
darem	after all, all the same, though.
dartel	a. frisky, playful; wanton.; frisk, gambol, sport.
das	n. (neck-)tie; bow.
dat	that; so that, in order that.
dateer	date.
datum	date.
dawer	roar, rumble, thunder.
de	the.; here you are!; so there!
debat	debate, discussion.
debatteer	debate, discuss.
debet	debit; vide debiet.
debiet	debit; sale, market.
debiteer	debit, charge (with).
debiteur	debtor.
debuteer	ma!ce one's debut.
deeg	dough.
deeglik	sound, thorough, solid.
deel	n. part, portion; division, section; share; volume (of book).; divide, share; split.
deelagtig	participate in.
deelneem	- aan, take part in.
deelnemend	sympathetic.
deelnemer	participant, competitor.
deels	partly, in part.
deelsgewys	bit by bit.
deelteken	diaresis; division-sign.
deelwoord	participle.
deemoedig	meek, submissive.
Deen	Dane.
deerlik	a. piteous, miserable.; adv. badly, profoundly.
deernis	commiseration, compassion.
deesdae	adv. nowadays.
definisie	(-s) definition.
deftig	dignified; smart.
dein	heave, surge, swell.
deins	shrink (back), retreat.
dek	n. cover, covering; deck.; cover; tile, slate, thatch (a house); shield (a person); lay (table).
dekaan	dean.
dekade	decade.
dekagram	decagram(me).
dekaliter	decalitre.
dekameter	decametre.
deken	counterpane.
dekgras	thatch.
dekking	cover; shelter, protection, guard.
dekmantel	cloak; excuse, pretext.
dekor	scenery (stage).
dekreet	decree, edict, enactment.
deksel	cover, lid, tap.
deksels	a. blessed, confounded.; interj. by gum!, by Jove!
delf	dig, mine.
delfstof	mineral.
delging	payment, redemption.
delikaat	delicate, ticklish.
delwer	digger.
delwerye	diggings.
demagoog	demagogue.
demobiliseer	demobilize.
demokraties	democratic.
demonstreer	demonstrate.
demp	fill up (a ditch); quell (a rebellion); dim (a light); extinguish, quench (fires).; choke
demper	damper, silencer.
denkbaar	conceivable, imaginable.
denkbeeld	idea, notion; view (of art).
denkbeeldig	imaginary; hypothetical.
denklik	possible, probable.
dennebol	fir-cone.
denneboom	fir(-tree).
departement	department, office.
departementeel	departmental.
deporteer	deport; transport.
deposito	deposit.; deposit.
depot	depot; dump.
depressie	depression.
deputasie	deputation.
derde	third.
derdemag	cube.
derdemannetjie	twos and threes.
derderangs	third-rate.
derduiwelse	severe, confounded.
dergelik	such(like), similar.
derhalwe	consequently, therefore.; consequently; so; therefore
derm	intestine; gut; (pl.) entrails.
dermate	to such a degree (extent).
dertien	thirteen.
dertig	thirty.
derwaarts	thither.
derwisj	dervish.
des	of the.
dese	this; na -, after this.
Desember	December.
deser	of this; 10de -, tenth instant.
desgelyks	likewise.
desgewens	if required (necessary).
desigram	decigram.
desiliter	decilitre.
desimaal	n. decimal place.; a. decimal.
deskundig	expert.
desnieteenstaande	nevertheless.
desnietemin	for all that, nevertheless.
desnoods	if need be, in case of need.
desondanks	nevertheless.
desperaat	desperate, despairing.
despoot	despot.
destyds	at that time.
desverkiesend	if desired; if so inclined.
deswee	on that account, for that reason.
deudring	penetrate, pierce.
deug	n. virtue; excellence.; be good for, serve.
deugdelik	sound, reliable; solid.
deugniet	good-for-nothing, rascal.
deugsaam	honest, yirtuous.
deuk	n. dent, dint, cavity.; dent, indent.
deuntjie	air, ditty, tune.
deur	n. door.; prep. through; throughout; by; on account of.
deur en deur	thoroughly.
deurblaai	turn over the leaves of, glance at, skim (a book).
deurboor	bore (drill) through, pierce.; pierce, transfix, stab.
deurbring	squander (one's money), pass (the time).
deurdag	considered; well-planned.
deurdat	as, because.
deurdring	permeate, fill.
deurdringend	penetrating, searching (look), shrill (cry.)
deurdrink	consider fully; reflect on.
deurdruk	press (push, squeeze) through; persist, persevere.
deurdryf	force (push) through; persist.
deurentyd	always, all the time.
deurgaan	go (pass) on; go through.
deurgaans	commonly, usually; right through.
deurgang	passage; thoroughfare.
deurgangspoort	gateway
deurgestoke	'n - kaart, a put-up job.
deurgrawing	cutting, tunnel.
deurgrond	fathom, see through.
deurhaal	cross out; pull (a patient) through.
deurknip	n. door-latch.; cut (snip) (through).
deurkom	get through; pass; pull through (an illness), survive, escape.
deurkruis	cross; traverse.
deurleef	go (live, pass) through, experience; survive.
deurloop	n. passage; arcade.; go (walk) on; wear out with walking; thrash.
deurlopend	continuous, uninterrupted.
deurlugtig	illustrious.
deurmaak	vide deurleef.
deurmekaar	confused, delirious; insane.
deurmekaarspul	confusion, chaos, mix-up.
deurploeg	furrow; wrinkle; score.
deurreis	pass (travel) through.; travel all over.
deurry	ride (drive) on; wear out by riding.
deursettingsvermoe	perseverance.
deursien	see through, sum up.
deursig	insight, penetration.
deurskaaf	plane through; chafe.
deurskemer	filter (glimmer) through.
deurskynend	transparent, translucent.
deurslaan	drive (knock) through; punch.
deurslag	punch; carbon-copy; boggy ground, decisive factor.
deurslagpapier	carbon-paper.
deursnede	section; diameter.
deursnee-...	average.
deursny	cross, intersect.
deurspek	lard; interlard.
deurstaan	endure, stand weather.
deursteek	cut, pierce, prick.; stab, pierce.
deursyfer	trickle (ooze) through.
deurtastend	drastic, thorough.
deurtel	lift through.
deurtintel	thrill.
deurtog	march-through; passage.
deurtrap	crafty, consummate.
deurtrek	pull through, extend (a line); trek on (through).; pervade, permeate, soak.
deurval	fall through.
deurvoer	convey (goods) in transit; carry (a plan) through.
deurwaarder	doorkeeper.
deurweek	soak, moisten.
deurworstel	struggle through (on).
deuskant	on this side of.
devalueer	depreciate.
dewyl	as, because, since.
diagnose	diagnosis.
diaken	deacon.
dialek	dialect.
dialoog	dialogue.
diamant	diamond.
diarree	diarrhoea.; diarrhoea
die	art., the.; this (these); that (those).
diederdae	from days of yore.
diederik	didric-cuckoo.
dieet	diet, regimen.
dief	thief.
diefstal	robbery; larceny.
diegene	he, she; those.
dien	serve; wait on, attend to.
dienaar	servant; valet.
diender	constable, policeman.
diener	waiter; server (at tennis).
dienlik	serviceable.
dienooreenkomstig	accordingly.
diens	duty; function.
diensbaar	- aan, subservient to; - maak, subjugate.
diensbode	servant.
diensdoende	acting; officiating; on duty.
diensjaar	year of service; financial year.
dienskneg	(man-)servant.
diensmaagd	(maid-)servant; hand-maid.
diensmeisie	maid, maid-servant.
dienstig	serviceable, useful.
diensvaardig	obliging.
dientengevolge	in consequence, therefore.
diep	a. deep, profound (interest); low (bow); intense (scorn).; adv. deeply, profoundly.
diepbord	soup-plate.
diepgaande	thorough; deep-lying.
diepsinnig	abstruse, profound.
diepte	depth; profundity.
dier	animal, beast; brute.
dierasie	devil, monster.
dierbaar	beloved, dear.
dieretuin	zoo(logical garden).
dierkunde	zoology.
dierkundige	zoologist.
dierlik	animal; bestial, brutal.
dies	wat - meer sy, so forth.
dieselfde	the same.
diesman	duusman, Dutchman; European.
diesulke	such(like).
Diets	Middle Dutch; Pan-Dutch.; make a person believe something.
diftong	diphthong.
dig	a. closed, shut; tight; dense (forest), compact (mass), thick (fog).; write poetry (verses).
digby	close by, close to, near.
digkuns	poetic art.
digter	poet.
digterlik	poetic(al).
digtheid	closeness, compactness, density.
dik	thick; bulky; dense (fog); stout; swollen.
dikbek	sulky.
dikderm	large intestine, colon.
dikhuid	pachyderm, thick-skinned person.
dikkerd	fatty; chubby child.
dikkop	thick-kneed (plover).
dikmelk	curdled milk.
diksak	vide dikkerd.
diktaat	dictation; notes.
diktator	dictator.
dikte	thickness.
diktee	dictation.
dikteer	dictate.
dikwels	frequently, often.
dinamiet	dynamite.
dinee	dinner.
ding	n. thing, matter, object.
dinges	what-do-you-call-it, (Mr) So-and-So.
dink	think.
Dinsdag	Tuesday.
dip	dip.
dipbak	dipping-tank.
diplomaat	diplomat(ist).
direk	prompt(ly); at once.
direksie	direction; management.
direkteur	director; manager.
dirigeer	direct; conduct (orchestra).
dirigent	conductor, choirmaster.
dis	n. table, board.
dis - dit is	it is, that is.
diskresie	discretion; secrecy.; discretion
disnis	outdistance, outdo.
dispens	vide spens.
dispuut	controversy, disputation.
dissel	n. thistle.
disselboom	beam, pole shaft.
dissipel	disciple.
dissipline	discipline.
distrik	district.
dit	it.
ditto	ditto, do.
diverse	sundries; incidental expenses.
dobbel	(play at) dice, gamble.
dobber	n. float; buoy.; bob, drift; fluctuate.
dodeakker	cemetery, graveyard.
dodelik	mortal (fear), fatal (accident);
dodetal	mortality
doeane	custom-house; customs.
doedelsak	bagpipe.
doedoe	(go to) sleep.
doek	cloth, linen; canvas (of painter); painting; screen; napkin.
doel	goal, purpose.; goal (football); target.; goal
doelbewus	purposeful; unswerving.
doeleinde	object.
doelmatig	efficient, practical.
doeltreffend	effective, efficacious.
doelwit	vide doeleinde.; objective
doem	doom, condemn.
doen	his doings.; do, make (a discovery), take (a step), ask (a question).
doenig	doing.
doening	act, deed; behaviour.
doenlik	feasible, practicable.
doepa	magic-potion, philtre.
dof	dull (colour), faint (sound), dim (light, eyes).
dogter	daughter; girl, girlie.
dok	dock.
dokter	n. (medical) doctor.; doctor; nurse; treat.
doktor	doctor (of literature, etc.).
dokument	document.
dol	a. mad; wild; crazy.
dolbly	overjoyed.
dolfyn	dolphin.
dolgraag	very much, ever so much.
dolk	dagger, dirk, poniard, stiletto.
dolleeg	absolutely empty.
dolos	knuckle-bone.
dolosgooier	witchdoctor.
dolsinnig	hare-brained, mad.
dolwe	dig up (deeply), trench.
dom	n. cathedral (-church); dome.; a. stupid, dense, silly.
domastrant	cheeky, impudent.
dominee	clergyman, minister.
domkop	blockhead, fathead.
domkrag	lifting-jack.
dommel	doze, drowse.
domoor	vide domkop.
dompel	plunge.
domper	extinguisher.
donasie	donation.
donateur	donor; contributor.
Donau	Danube.
donder	n. thunder.; thunder; rave, storm.
donderbui	thunderstorm.
Donderdag	Thursday.
donker	n. dark, darkness.; a. dark.
donkie	donkey; dunce.
dons	down, fluff.
donsig	downy, fluffy.
dood	n. death, decease, demise.; [dooi(e)], a. dead, defunct.; kill; slay.
doodbedaard	as cool as a cucumber.
doodblaas	extinguish, blow out.
doodbloei	bleed to death.
dooddruk	press (squeeze) to death.
doodeenvoudig	quite simple.
doodeerlik	downright honest.
doodgaan	die.
doodgegooi	be madly in love.
doodgerus	perfectly calm.
doodgewoon	quite common, usual.
doodgoed	good to a fault.
doodgooi	kill (by throwing); knock out, finish.
doodjammer	dit is -, it is a great pity.
doodkis	coffin.
doodloop	come to a dead end; jou -, walk oneself off one's legs.
doodluiters	as innocent as a lamb.
doodmaak	kill.
doodmak	quite tame.
doodmoeg	dead-beat.
doodonskuldig	as innocent as a lamb.
doodry	ride (a horse) to death; run over and kill (a person).
doods	deathly, deathlike.
doodsbenoud	mortally afraid.
doodsberig	death-notice, obituary notice.
doodsbleek	deathly pale.
doodsiek	dangerously ill.
doodskaam	jou -, die of shame.
doodskiet	shoot (dead).
doodskop	kick to death.
doodskrik	jou -, be frightened to death.
doodslaan	beat (batter) to death.
doodslag	homicide, manslaughter.; homicide
doodsteek	n. death-blow, finishing stroke.; stab to death.
doodstil	stock-still.
doodtevrede	quite content.
doodtrap	trample to death.
doodvonnis	sentence of death.
doof	a. deaf.; put out; dim; deaden.
doofstom	deaf and dumb, deafmute.
doofstomme	deaf-mute.
dooi	thaw.
dooiemansdeur	find nobody at home.
dooier	door, (dore), yolk.
dooierig	lifeless, listless.
dool	roam, wander (about).
doolhof	maze, labyrinth.
